Date,OPEN,HIGH,LOW,Close
2023-Q1,"7,258.20","7,292.50","7,216.30","7,283.60"
2023-Q1,"7,488.10","7,567.70","7,193.40","7,258.40"
2023-Q1,"7,046.30","7,516.80","6,905.30","7,476.70"
2022-Q4,"7,306.00","7,375.20","6,993.80","7,038.70"
2022-Q4,"6,866.50","7,293.70","6,823.00","7,284.20"
2022-Q4,"6,485.60","6,873.80","6,411.90","6,863.50"
2022-Q3,"6,924.90","7,015.20","6,433.10","6,474.20"
2022-Q3,"6,951.30","7,137.50","6,918.20","6,986.80"
2022-Q3,"6,567.30","6,973.60","6,537.20","6,945.20"
2022-Q2,"7,210.50","7,254.60","6,407.00","6,568.10"
2022-Q2,"7,422.00","7,423.20","6,930.20","7,211.20"
2022-Q2,"7,509.70","7,624.80","7,233.30","7,435.00"
2022-Q1,"7,061.00","7,556.60","6,968.90","7,499.60"
2022-Q1,"6,958.30","7,356.80","6,945.70","7,049.10"
2022-Q1,"7,456.20","7,620.20","6,758.20","6,971.60"
2021-Q4,"7,251.90","7,520.60","7,168.90","7,444.60"
2021-Q4,"7,332.50","7,479.10","7,180.30","7,256.00"
2021-Q4,"7,310.70","7,473.90","7,157.90","7,323.70"
2021-Q3,"7,524.80","7,539.00","7,145.70","7,332.20"
2021-Q3,"7,415.90","7,632.80","7,414.90","7,534.90"
2021-Q3,"7,314.70","7,447.90","7,205.00","7,392.60"
2021-Q2,"7,162.80","7,406.20","7,117.50","7,313.00"
2021-Q2,"7,022.00","7,203.30","6,917.30","7,161.60"
2021-Q2,"6,800.70","7,096.90","6,783.30","7,025.80"
2021-Q1,"6,676.90","6,862.60","6,648.60","6,790.70"
2021-Q1,"6,599.10","6,938.00","6,517.20","6,673.30"
2021-Q1,"6,593.30","6,832.60","6,585.30","6,607.40"
2020-Q4,"6,517.20","6,765.70","6,511.40","6,587.10"
2020-Q4,"5,934.80","6,713.30","5,904.10","6,517.80"
2020-Q4,"5,832.20","6,248.30","5,779.60","5,927.60"
2020-Q3,"6,044.80","6,130.80","5,763.20","5,815.90"
2020-Q3,"5,928.30","6,199.20","5,860.70","6,060.50"
2020-Q3,"5,903.60","6,160.60","5,892.80","5,927.80"
2020-Q2,"5,755.50","6,198.60","5,705.40","5,897.90"
2020-Q2,"5,491.30","5,922.00","5,169.60","5,755.70"
2020-Q2,"5,111.10","5,563.60","5,022.40","5,522.40"
2020-Q1,"6,438.90","6,524.30","4,402.50","5,076.80"
2020-Q1,"6,983.70","7,197.20","6,426.80","6,441.20"
2020-Q1,"6,681.20","7,144.90","6,669.20","7,017.20"
2019-Q4,"6,848.40","6,890.00","6,590.10","6,684.10"
2019-Q4,"6,651.80","6,893.70","6,634.70","6,846.00"
2019-Q4,"6,688.60","6,766.20","6,475.40","6,663.40"
2019-Q3,"6,604.80","6,775.60","6,503.90","6,688.30"
2019-Q3,"6,801.30","6,806.40","6,396.00","6,604.20"
2019-Q3,"6,631.50","6,875.50","6,626.60","6,812.60"
2019-Q2,"6,383.70","6,691.50","6,315.60","6,618.80"
2019-Q2,"6,330.00","6,510.90","6,203.10","6,396.90"
2019-Q2,"6,189.30","6,390.50","6,169.80","6,325.50"
2019-Q1,"6,164.90","6,270.90","6,096.80","6,180.70"
2019-Q1,"5,872.00","6,191.10","5,848.90","6,169.00"
2019-Q1,"5,646.80","5,915.20","5,552.00","5,864.70"
2018-Q4,"5,685.50","5,771.20","5,410.20","5,646.40"
