"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BRA","CPI","TOT","AGRWTH","Q","2009-Q1",5.782629,
"BRA","CPI","TOT","AGRWTH","Q","2009-Q2",5.17613,
"BRA","CPI","TOT","AGRWTH","Q","2009-Q3",4.401974,
"BRA","CPI","TOT","AGRWTH","Q","2009-Q4",4.232282,
"BRA","CPI","TOT","AGRWTH","Q","2010-Q1",4.86376,
"BRA","CPI","TOT","AGRWTH","Q","2010-Q2",5.106026,
"BRA","CPI","TOT","AGRWTH","Q","2010-Q3",4.59685,
"BRA","CPI","TOT","AGRWTH","Q","2010-Q4",5.580462,
"BRA","CPI","TOT","AGRWTH","Q","2011-Q1",6.102672,
"BRA","CPI","TOT","AGRWTH","Q","2011-Q2",6.59198,
"BRA","CPI","TOT","AGRWTH","Q","2011-Q3",7.136539,
"BRA","CPI","TOT","AGRWTH","Q","2011-Q4",6.703769,
"BRA","CPI","TOT","AGRWTH","Q","2012-Q1",5.766444,
"BRA","CPI","TOT","AGRWTH","Q","2012-Q2",5.002617,
"BRA","CPI","TOT","AGRWTH","Q","2012-Q3",5.240459,
"BRA","CPI","TOT","AGRWTH","Q","2012-Q4",5.608078,
"BRA","CPI","TOT","AGRWTH","Q","2013-Q1",6.352467,
"BRA","CPI","TOT","AGRWTH","Q","2013-Q2",6.564641,
"BRA","CPI","TOT","AGRWTH","Q","2013-Q3",6.072682,
"BRA","CPI","TOT","AGRWTH","Q","2013-Q4",5.841049,
"BRA","CPI","TOT","AGRWTH","Q","2014-Q1",5.806808,
"BRA","CPI","TOT","AGRWTH","Q","2014-Q2",6.392816,
"BRA","CPI","TOT","AGRWTH","Q","2014-Q3",6.58748,
"BRA","CPI","TOT","AGRWTH","Q","2014-Q4",6.516207,
"BRA","CPI","TOT","AGRWTH","Q","2015-Q1",7.658574,
"BRA","CPI","TOT","AGRWTH","Q","2015-Q2",8.513983,
"BRA","CPI","TOT","AGRWTH","Q","2015-Q3",9.525464,
"BRA","CPI","TOT","AGRWTH","Q","2015-Q4",10.36077,
"BRA","CPI","TOT","AGRWTH","Q","2016-Q1",10.14376,
"BRA","CPI","TOT","AGRWTH","Q","2016-Q2",9.146459,
"BRA","CPI","TOT","AGRWTH","Q","2016-Q3",8.728286,
"BRA","CPI","TOT","AGRWTH","Q","2016-Q4",7.044497,
"BRA","CPI","TOT","AGRWTH","Q","2017-Q1",4.892844,
"BRA","CPI","TOT","AGRWTH","Q","2017-Q2",3.557437,
"BRA","CPI","TOT","AGRWTH","Q","2017-Q3",2.568191,
"BRA","CPI","TOT","AGRWTH","Q","2017-Q4",2.817709,
"BRA","CPI","TOT","AGRWTH","Q","2018-Q1",2.793443,
"BRA","CPI","TOT","AGRWTH","Q","2018-Q2",3.336087,
"BRA","CPI","TOT","AGRWTH","Q","2018-Q3",4.401292,
"BRA","CPI","TOT","AGRWTH","Q","2018-Q4",4.115261,
"BRA","CPI","TOT","AGRWTH","Q","2019-Q1",4.081151,
"BRA","CPI","TOT","AGRWTH","Q","2019-Q2",4.316856,
"BRA","CPI","TOT","AGRWTH","Q","2019-Q3",3.180906,
"BRA","CPI","TOT","AGRWTH","Q","2019-Q4",3.371909,
"BRA","CPI","TOT","AGRWTH","Q","2020-Q1",3.831513,
"BRA","CPI","TOT","AGRWTH","Q","2020-Q2",2.136361,
"BRA","CPI","TOT","AGRWTH","Q","2020-Q3",2.626523,
"BRA","CPI","TOT","AGRWTH","Q","2020-Q4",4.250595,
"BRA","CPI","TOT","AGRWTH","Q","2021-Q1",5.285479,
"BRA","CPI","TOT","AGRWTH","Q","2021-Q2",7.720136,
"BRA","CPI","TOT","AGRWTH","Q","2021-Q3",9.642137,
"BRA","CPI","TOT","AGRWTH","Q","2021-Q4",10.48824,
"BRA","CPI","TOT","AGRWTH","Q","2022-Q1",10.74359,
"BRA","CPI","TOT","AGRWTH","Q","2022-Q2",11.91593,
"BRA","CPI","TOT","AGRWTH","Q","2022-Q3",8.64537,
"BRA","CPI","TOT","AGRWTH","Q","2022-Q4",6.050101,
