"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IND","CPI","TOT","AGRWTH","Q","2009-Q1",9.359606,
"IND","CPI","TOT","AGRWTH","Q","2009-Q2",8.872902,
"IND","CPI","TOT","AGRWTH","Q","2009-Q3",11.75115,
"IND","CPI","TOT","AGRWTH","Q","2009-Q4",13.31828,
"IND","CPI","TOT","AGRWTH","Q","2010-Q1",15.31532,
"IND","CPI","TOT","AGRWTH","Q","2010-Q2",13.65639,
"IND","CPI","TOT","AGRWTH","Q","2010-Q3",10.30928,
"IND","CPI","TOT","AGRWTH","Q","2010-Q4",9.163346,
"IND","CPI","TOT","AGRWTH","Q","2011-Q1",8.984375,
"IND","CPI","TOT","AGRWTH","Q","2011-Q2",8.914729,
"IND","CPI","TOT","AGRWTH","Q","2011-Q3",9.158878,
"IND","CPI","TOT","AGRWTH","Q","2011-Q4",8.39416,
"IND","CPI","TOT","AGRWTH","Q","2012-Q1",7.168459,
"IND","CPI","TOT","AGRWTH","Q","2012-Q2",10.14235,
"IND","CPI","TOT","AGRWTH","Q","2012-Q3",9.760274,
"IND","CPI","TOT","AGRWTH","Q","2012-Q4",10.10101,
"IND","CPI","TOT","AGRWTH","Q","2013-Q1",11.70569,
"IND","CPI","TOT","AGRWTH","Q","2013-Q2",10.66236,
"IND","CPI","TOT","AGRWTH","Q","2013-Q3",10.76443,
"IND","CPI","TOT","AGRWTH","Q","2013-Q4",10.55046,
"IND","CPI","TOT","AGRWTH","Q","2014-Q1",6.886228,
"IND","CPI","TOT","AGRWTH","Q","2014-Q2",6.861314,
"IND","CPI","TOT","AGRWTH","Q","2014-Q3",6.760563,
"IND","CPI","TOT","AGRWTH","Q","2014-Q4",4.979253,
"IND","CPI","TOT","AGRWTH","Q","2015-Q1",6.582633,
"IND","CPI","TOT","AGRWTH","Q","2015-Q2",5.874317,
"IND","CPI","TOT","AGRWTH","Q","2015-Q3",4.617414,
"IND","CPI","TOT","AGRWTH","Q","2015-Q4",6.455863,
"IND","CPI","TOT","AGRWTH","Q","2016-Q1",5.65046,
"IND","CPI","TOT","AGRWTH","Q","2016-Q2",6.193548,
"IND","CPI","TOT","AGRWTH","Q","2016-Q3",5.296343,
"IND","CPI","TOT","AGRWTH","Q","2016-Q4",2.722772,
"IND","CPI","TOT","AGRWTH","Q","2017-Q1",2.363184,
"IND","CPI","TOT","AGRWTH","Q","2017-Q2",1.45808,
"IND","CPI","TOT","AGRWTH","Q","2017-Q3",2.39521,
"IND","CPI","TOT","AGRWTH","Q","2017-Q4",3.73494,
"IND","CPI","TOT","AGRWTH","Q","2018-Q1",4.73876,
"IND","CPI","TOT","AGRWTH","Q","2018-Q2",3.952096,
"IND","CPI","TOT","AGRWTH","Q","2018-Q3",5.614035,
"IND","CPI","TOT","AGRWTH","Q","2018-Q4",5.110337,
"IND","CPI","TOT","AGRWTH","Q","2019-Q1",7.076566,
"IND","CPI","TOT","AGRWTH","Q","2019-Q2",8.525346,
"IND","CPI","TOT","AGRWTH","Q","2019-Q3",6.423034,
"IND","CPI","TOT","AGRWTH","Q","2019-Q4",8.618785,
"IND","CPI","TOT","AGRWTH","Q","2020-Q1",6.608884,
"IND","CPI","TOT","AGRWTH","Q","2020-Q2",5.201698,
"IND","CPI","TOT","AGRWTH","Q","2020-Q3",5.530673,
"IND","CPI","TOT","AGRWTH","Q","2020-Q4",4.952394,
"IND","CPI","TOT","AGRWTH","Q","2021-Q1",4.435952,
"IND","CPI","TOT","AGRWTH","Q","2021-Q2",5.325812,
"IND","CPI","TOT","AGRWTH","Q","2021-Q3",4.824363,
"IND","CPI","TOT","AGRWTH","Q","2021-Q4",4.969291,
"IND","CPI","TOT","AGRWTH","Q","2022-Q1",5.409193,
"IND","CPI","TOT","AGRWTH","Q","2022-Q2",6.484548,
"IND","CPI","TOT","AGRWTH","Q","2022-Q3",6.041723,
"IND","CPI","TOT","AGRWTH","Q","2022-Q4",5.664894,
