Date,CPI
2009-Q1,-1.20316
2009-Q2,0.00000
2009-Q3,-0.31315
2009-Q4,-0.52356
2010-Q1,-0.03509
2010-Q2,0.07020
2010-Q3,-0.52613
2010-Q4,0.21157
2011-Q1,-0.28149
2011-Q2,0.21171
2011-Q3,0.00000
2011-Q4,-0.24648
2012-Q1,0.35298
2012-Q2,0.07035
2012-Q3,-0.59754
2012-Q4,-0.07072
2013-Q1,-0.07077
2013-Q2,0.46034
2013-Q3,0.56398
2013-Q4,0.45566
2014-Q1,0.03489
2014-Q2,2.47646
2014-Q3,0.37440
2014-Q4,-0.30519
2015-Q1,-0.23810
2015-Q2,0.75009
2015-Q3,-0.10152
2015-Q4,-0.16938
2016-Q1,-0.44113
2016-Q2,0.34083
2016-Q3,-0.20380
2016-Q4,0.61266
2017-Q1,-0.40595
2017-Q2,0.40761
2017-Q3,0.00000
2017-Q4,0.57510
2018-Q1,0.30272
2018-Q2,-0.20121
2018-Q3,0.43683
2018-Q4,0.33456
2019-Q1,-0.26676
2019-Q2,0.23404
2019-Q3,0.03336
2019-Q4,0.50017
2020-Q1,-0.09954
2020-Q2,-0.29890
2020-Q3,-0.06662
2020-Q4,-0.46667
2021-Q1,0.30141
2021-Q2,-0.50083
2021-Q3,0.50336
2021-Q4,0.20033
2022-Q1,0.66644
