Date,Interest Rate
2009-Q1,0.3
2009-Q2,0.3
2009-Q3,0.3
2009-Q4,0.3
2010-Q1,0.3
2010-Q2,0.3
2010-Q3,0.3
2010-Q4,0.3
2011-Q1,0.3
2011-Q2,0.3
2011-Q3,0.3
2011-Q4,0.3
2012-Q1,0.3
2012-Q2,0.3
2012-Q3,0.3
2012-Q4,0.3
2013-Q1,0.3
2013-Q2,0.3
2013-Q3,0.3
2013-Q4,0.3
2014-Q1,0.3
2014-Q2,0.3
2014-Q3,0.3
2014-Q4,0.3
2015-Q1,0.3
2015-Q2,0.3
2015-Q3,0.3
2015-Q4,0.3
2016-Q1,0.3
2016-Q2,0.3
2016-Q3,0.3
2016-Q4,0.3
2017-Q1,0.3
2017-Q2,0.3
2017-Q3,0.3
2017-Q4,0.3
2018-Q1,0.3
2018-Q2,0.3
2018-Q3,0.3
2018-Q4,0.3
2019-Q1,0.3
2019-Q2,0.3
2019-Q3,0.3
2019-Q4,0.3
2020-Q1,0.3
2020-Q2,0.3
2020-Q3,0.3
2020-Q4,0.3
2021-Q1,0.3
2021-Q2,0.3
2021-Q3,0.3
2021-Q4,0.3
2022-Q1,0.3
2022-Q2,0.3
2022-Q3,0.3
2022-Q4,0.3
2009-Q1,0.3
2009-Q2,0.3
2009-Q3,0.3
2009-Q4,0.3
2010-Q1,0.3
2010-Q2,0.3
2010-Q3,0.3
2010-Q4,0.3
2011-Q1,0.3
2011-Q2,0.3
2011-Q3,0.3
2011-Q4,0.3
2012-Q1,0.3
2012-Q2,0.3
2012-Q3,0.3
2012-Q4,0.3
2013-Q1,0.3
2013-Q2,0.3
2013-Q3,0.3
2013-Q4,0.3
2014-Q1,0.3
2014-Q2,0.3
2014-Q3,0.3
2014-Q4,0.3
2015-Q1,0.3
2015-Q2,0.3
2015-Q3,0.3
2015-Q4,0.3
2016-Q1,0.3
2016-Q2,0.3
2016-Q3,0.3
2016-Q4,0.3
2017-Q1,0.3
2017-Q2,0.3
2017-Q3,0.3
2017-Q4,0.3
2018-Q1,0.3
2018-Q2,0.3
2018-Q3,0.3
2018-Q4,0.3
2019-Q1,0.3
2019-Q2,0.3
2019-Q3,0.3
2019-Q4,0.3
2020-Q1,0.3
2020-Q2,0.3
2020-Q3,0.3
2020-Q4,0.3
2021-Q1,0.3
2021-Q2,0.3
2021-Q3,0.3
2021-Q4,0.3
2022-Q1,0.3
2022-Q2,0.3
2022-Q3,0.3
2022-Q4,0.3
2009-Q1,0.3
2009-Q2,0.3
2009-Q3,0.3
2009-Q4,0.3
2010-Q1,0.3
2010-Q2,0.3
2010-Q3,0.3
2010-Q4,0.3
2011-Q1,0.3
2011-Q2,0.3
2011-Q3,0.3
2011-Q4,0.3
2012-Q1,0.3
2012-Q2,0.3
2012-Q3,0.3
2012-Q4,0.3
2013-Q1,0.3
2013-Q2,0.3
2013-Q3,0.3
2013-Q4,0.3
2014-Q1,0.3
2014-Q2,0.3
2014-Q3,0.3
2014-Q4,0.3
2015-Q1,0.3
2015-Q2,0.3
2015-Q3,0.3
2015-Q4,0.3
2016-Q1,0.3
2016-Q2,0.3
2016-Q3,0.3
2016-Q4,0.3
2017-Q1,0.3
2017-Q2,0.3
2017-Q3,0.3
2017-Q4,0.3
2018-Q1,0.3
2018-Q2,0.3
2018-Q3,0.3
2018-Q4,0.3
2019-Q1,0.3
2019-Q2,0.3
2019-Q3,0.3
2019-Q4,0.3
2020-Q1,0.3
2020-Q2,0.3
2020-Q3,0.3
2020-Q4,0.3
2021-Q1,0.3
2021-Q2,0.3
2021-Q3,0.3
2021-Q4,0.3
2022-Q1,0.3
2022-Q2,0.3
2022-Q3,0.3
2022-Q4,0.3
2023-Q1,0.3
2023-Q2,0.3
