"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","HUR","TOT","PC_LF","Q","2009-Q1",7.1,
"GBR","HUR","TOT","PC_LF","Q","2009-Q2",7.8,
"GBR","HUR","TOT","PC_LF","Q","2009-Q3",7.8,
"GBR","HUR","TOT","PC_LF","Q","2009-Q4",7.8,
"GBR","HUR","TOT","PC_LF","Q","2010-Q1",8,
"GBR","HUR","TOT","PC_LF","Q","2010-Q2",7.9,
"GBR","HUR","TOT","PC_LF","Q","2010-Q3",7.8,
"GBR","HUR","TOT","PC_LF","Q","2010-Q4",7.9,
"GBR","HUR","TOT","PC_LF","Q","2011-Q1",7.8,
"GBR","HUR","TOT","PC_LF","Q","2011-Q2",7.9,
"GBR","HUR","TOT","PC_LF","Q","2011-Q3",8.3,
"GBR","HUR","TOT","PC_LF","Q","2011-Q4",8.4,
"GBR","HUR","TOT","PC_LF","Q","2012-Q1",8.2,
"GBR","HUR","TOT","PC_LF","Q","2012-Q2",8,
"GBR","HUR","TOT","PC_LF","Q","2012-Q3",7.9,
"GBR","HUR","TOT","PC_LF","Q","2012-Q4",7.8,
"GBR","HUR","TOT","PC_LF","Q","2013-Q1",7.8,
"GBR","HUR","TOT","PC_LF","Q","2013-Q2",7.7,
"GBR","HUR","TOT","PC_LF","Q","2013-Q3",7.6,
"GBR","HUR","TOT","PC_LF","Q","2013-Q4",7.2,
"GBR","HUR","TOT","PC_LF","Q","2014-Q1",6.8,
"GBR","HUR","TOT","PC_LF","Q","2014-Q2",6.3,
"GBR","HUR","TOT","PC_LF","Q","2014-Q3",6,
"GBR","HUR","TOT","PC_LF","Q","2014-Q4",5.7,
"GBR","HUR","TOT","PC_LF","Q","2015-Q1",5.5,
"GBR","HUR","TOT","PC_LF","Q","2015-Q2",5.6,
"GBR","HUR","TOT","PC_LF","Q","2015-Q3",5.3,
"GBR","HUR","TOT","PC_LF","Q","2015-Q4",5.1,
"GBR","HUR","TOT","PC_LF","Q","2016-Q1",5.1,
"GBR","HUR","TOT","PC_LF","Q","2016-Q2",4.9,
"GBR","HUR","TOT","PC_LF","Q","2016-Q3",4.8,
"GBR","HUR","TOT","PC_LF","Q","2016-Q4",4.7,
"GBR","HUR","TOT","PC_LF","Q","2017-Q1",4.6,
"GBR","HUR","TOT","PC_LF","Q","2017-Q2",4.4,
"GBR","HUR","TOT","PC_LF","Q","2017-Q3",4.3,
"GBR","HUR","TOT","PC_LF","Q","2017-Q4",4.4,
"GBR","HUR","TOT","PC_LF","Q","2018-Q1",4.2,
"GBR","HUR","TOT","PC_LF","Q","2018-Q2",4,
"GBR","HUR","TOT","PC_LF","Q","2018-Q3",4.1,
"GBR","HUR","TOT","PC_LF","Q","2018-Q4",4,
"GBR","HUR","TOT","PC_LF","Q","2019-Q1",3.8,
"GBR","HUR","TOT","PC_LF","Q","2019-Q2",3.9,
"GBR","HUR","TOT","PC_LF","Q","2019-Q3",3.8,
"GBR","HUR","TOT","PC_LF","Q","2019-Q4",3.8,
"GBR","HUR","TOT","PC_LF","Q","2020-Q1",4,
"GBR","HUR","TOT","PC_LF","Q","2020-Q2",4.1,
"GBR","HUR","TOT","PC_LF","Q","2020-Q3",4.9,
"GBR","HUR","TOT","PC_LF","Q","2020-Q4",5.2,
"GBR","HUR","TOT","PC_LF","Q","2021-Q1",4.9,
"GBR","HUR","TOT","PC_LF","Q","2021-Q2",4.7,
"GBR","HUR","TOT","PC_LF","Q","2021-Q3",4.3,
"GBR","HUR","TOT","PC_LF","Q","2021-Q4",4,
"GBR","HUR","TOT","PC_LF","Q","2022-Q1",3.7,
"GBR","HUR","TOT","PC_LF","Q","2022-Q2",3.8,
"GBR","HUR","TOT","PC_LF","Q","2022-Q3",3.6,
"GBR","HUR","TOT","PC_LF","Q","2022-Q4",3.7,
