Date,OPEN,HIGH,LOW,Close
2023-Q1,"7,876.28","7,974.40","7,708.32","7,748.35"
2023-Q1,"7,771.70","8,047.06","7,745.43","7,876.28"
2023-Q1,"7,451.74","7,875.58","7,448.69","7,771.70"
2022-Q4,"7,573.05","7,599.70","7,302.82","7,451.74"
2022-Q4,"7,094.53","7,599.27","7,076.47","7,573.05"
2022-Q4,"6,893.81","7,132.85","6,707.62","7,094.53"
2022-Q3,"7,284.15","7,514.04","6,829.29","6,893.81"
2022-Q3,"7,450.24","7,578.85","7,263.62","7,284.15"
2022-Q3,"7,169.28","7,441.20","7,007.09","7,423.43"
2022-Q2,"7,607.66","7,646.66","6,998.17","7,169.28"
2022-Q2,"7,544.55","7,648.26","7,158.53","7,607.66"
2022-Q2,"7,515.68","7,669.56","7,339.53","7,544.55"
2022-Q1,"7,458.25","7,595.42","6,787.98","7,515.68"
2022-Q1,"7,464.37","7,687.27","7,204.74","7,458.25"
2022-Q1,"7,384.54","7,619.01","7,283.38","7,464.37"
2021-Q4,"7,059.45","7,457.14","7,059.35","7,384.54"
2021-Q4,"7,237.57","7,402.68","6,989.66","7,059.45"
2021-Q4,"7,086.42","7,281.17","6,945.50","7,237.57"
2021-Q3,"7,119.70","7,195.62","6,828.28","7,086.42"
2021-Q3,"7,032.30","7,224.46","6,993.06","7,119.70"
2021-Q3,"7,037.47","7,170.60","6,813.03","7,032.30"
2021-Q2,"7,022.61","7,217.54","6,948.63","7,037.47"
2021-Q2,"6,969.81","7,164.18","6,823.60","7,022.61"
2021-Q2,"6,713.63","7,040.26","6,713.63","6,969.81"
2021-Q1,"6,483.43","6,812.78","6,483.43","6,713.63"
2021-Q1,"6,407.46","6,799.92","6,407.46","6,483.43"
2021-Q1,"6,460.52","6,903.61","6,397.24","6,407.46"
2020-Q4,"6,266.19","6,676.60","6,263.60","6,460.52"
2020-Q4,"5,577.27","6,468.73","5,554.73","6,266.19"
2020-Q4,"5,866.10","6,040.47","5,525.52","5,577.27"
2020-Q3,"5,963.57","6,123.69","5,771.49","5,866.10"
2020-Q3,"5,897.76","6,297.20","5,857.06","5,963.57"
2020-Q3,"6,169.74","6,323.55","5,897.76","5,897.76"
2020-Q2,"6,076.60","6,511.84","5,952.44","6,169.74"
2020-Q2,"5,901.21","6,234.04","5,661.14","6,076.60"
2020-Q2,"5,671.96","6,151.58","5,395.07","5,901.21"
2020-Q1,"6,580.61","6,856.27","4,898.79","5,671.96"
2020-Q1,"7,286.01","7,547.65","6,460.08","6,580.61"
2020-Q1,"7,542.44","7,689.67","7,275.03","7,286.01"
2019-Q4,"7,346.53","7,665.40","7,131.16","7,542.44"
2019-Q4,"7,248.38","7,446.00","7,197.33","7,346.53"
2019-Q4,"7,408.21","7,433.24","7,004.43","7,248.38"
2019-Q3,"7,207.18","7,440.77","7,199.40","7,408.21"
2019-Q3,"7,586.78","7,609.98","7,020.22","7,207.18"
2019-Q3,"7,425.63","7,727.49","7,425.63","7,586.78"
2019-Q2,"7,161.71","7,469.19","7,079.71","7,425.63"
2019-Q2,"7,385.26","7,446.46","7,130.85","7,161.71"
2019-Q2,"7,279.19","7,528.93","7,279.19","7,418.22"
2019-Q1,"7,074.73","7,370.61","7,074.73","7,279.19"
2019-Q1,"6,968.85","7,261.63","6,968.85","7,074.73"
2019-Q1,"6,728.13","7,001.94","6,599.48","6,968.85"
2018-Q4,"6,980.24","7,145.49","6,536.53","6,728.13"
2018-Q4,"7,128.10","7,196.39","6,904.21","6,980.24"
2018-Q4,"7,510.20","7,526.20","6,851.59","7,128.10"
2018-Q3,"7,432.42","7,552.02","7,220.50","7,510.20"
2018-Q3,"7,748.76","7,790.17","7,428.67","7,432.42"
2018-Q3,"7,636.93","7,782.90","7,540.71","7,748.76"
2018-Q2,"7,678.20","7,793.45","7,508.32","7,636.93"
2018-Q2,"7,509.30","7,903.50","7,492.39","7,678.20"
2018-Q2,"7,056.61","7,546.16","6,971.75","7,509.30"
2018-Q1,"7,231.91","7,254.87","6,866.94","7,056.61"
2018-Q1,"7,533.55","7,554.73","7,073.03","7,231.91"
2018-Q1,"7,687.77","7,792.56","7,521.77","7,533.55"
2017-Q4,"7,326.67","7,697.62","7,288.73","7,687.77"
2017-Q4,"7,493.08","7,582.85","7,326.67","7,326.67"
2017-Q4,"7,372.76","7,565.11","7,372.73","7,493.08"
2017-Q3,"7,430.62","7,460.52","7,196.58","7,372.76"
2017-Q3,"7,372.00","7,551.85","7,289.20","7,430.62"
2017-Q3,"7,312.72","7,515.12","7,303.46","7,372.00"
2017-Q2,"7,519.95","7,598.99","7,302.71","7,312.72"
2017-Q2,"7,203.94","7,586.45","7,197.28","7,519.95"
2017-Q2,"7,322.92","7,406.35","7,096.83","7,203.94"
2017-Q1,"7,263.44","7,447.00","7,255.78","7,322.92"
2017-Q1,"7,099.15","7,329.56","7,093.57","7,263.44"
2017-Q1,"7,142.83","7,354.14","7,087.54","7,099.15"
2016-Q4,"6,783.79","7,142.83","6,678.74","7,142.83"
2016-Q4,"6,954.22","6,997.25","6,676.56","6,783.79"
2016-Q4,"6,899.33","7,129.83","6,898.09","6,954.22"
2016-Q3,"6,781.51","6,941.09","6,654.48","6,899.33"
2016-Q3,"6,724.43","6,955.34","6,615.83","6,781.51"
2016-Q3,"6,504.33","6,780.05","6,432.47","6,724.43"
