Date,Open,High,Low,Close,Adj Close**,Volume
2023-Q1,"3,963.34","4,078.49","3,846.32","3,861.59","3,861.59","34,001,500,000"
2023-Q1,"4,070.07","4,195.44","3,943.08","3,970.15","3,970.15","80,392,280,000"
2023-Q1,"3,853.29","4,094.21","3,794.33","4,076.60","4,076.60","80,763,810,000"
2022-Q4,"4,087.14","4,100.96","3,764.49","3,839.50","3,839.50","85,249,330,000"
2022-Q4,"3,901.79","4,080.11","3,698.15","4,080.11","4,080.11","92,671,910,000"
2022-Q4,"3,609.78","3,905.42","3,491.58","3,871.98","3,871.98","95,823,760,000"
2022-Q3,"3,936.73","4,119.28","3,584.13","3,585.62s","3,585.62","94,241,020,000"
2022-Q3,"4,112.38","4,325.28","3,954.53","3,955.00","3,955.00","92,252,350,000"
2022-Q3,"3,781.00","4,140.15","3,721.56","4,130.29","4,130.29","81,688,320,000"
2022-Q2,"4,149.78","4,177.51","3,636.87","3,785.38","3,785.38","106,116,710,000"
2022-Q2,"4,130.61","4,307.66","3,810.32","4,132.15","4,132.15","108,860,390,000"
2022-Q2,"4,540.32","4,593.45","4,124.28","4,131.93","4,131.93","90,367,840,000"
2022-Q1,"4,363.14","4,637.30","4,157.87","4,530.41","4,530.41","123,546,260,000"
2022-Q1,"4,519.57","4,595.31","4,114.65","4,373.94","4,373.94","92,667,710,000"
2022-Q1,"4,778.14","4,818.62","4,222.62","4,515.55","4,515.55","95,562,890,000"
2021-Q4,"4,602.82","4,808.93","4,495.12","4,766.18","4,766.18","92,750,180,000"
2021-Q4,"4,610.62","4,743.83","4,560.00","4,567.00","4,567.00","88,268,840,000"
2021-Q4,"4,317.16","4,608.08","4,278.94","4,605.38","4,605.38","80,253,600,000"
2021-Q3,"4,528.80","4,545.85","4,305.91","4,307.54","4,307.54","85,528,860,000"
2021-Q3,"4,406.86","4,537.36","4,367.73","4,522.68","4,522.68","80,500,760,000"
2021-Q3,"4,300.73","4,429.97","4,233.13","4,395.26","4,395.26","84,255,620,000"
2021-Q2,"4,216.52","4,302.43","4,164.40","4,297.50","4,297.50","102,544,180,000"
