"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HUR","TOT","PC_LF","Q","2009-Q1",8.266666,
"USA","HUR","TOT","PC_LF","Q","2009-Q2",9.3,
"USA","HUR","TOT","PC_LF","Q","2009-Q3",9.633333,
"USA","HUR","TOT","PC_LF","Q","2009-Q4",9.933333,
"USA","HUR","TOT","PC_LF","Q","2010-Q1",9.833333,
"USA","HUR","TOT","PC_LF","Q","2010-Q2",9.633333,
"USA","HUR","TOT","PC_LF","Q","2010-Q3",9.466666,
"USA","HUR","TOT","PC_LF","Q","2010-Q4",9.5,
"USA","HUR","TOT","PC_LF","Q","2011-Q1",9.033334,
"USA","HUR","TOT","PC_LF","Q","2011-Q2",9.066667,
"USA","HUR","TOT","PC_LF","Q","2011-Q3",9,
"USA","HUR","TOT","PC_LF","Q","2011-Q4",8.633333,
"USA","HUR","TOT","PC_LF","Q","2012-Q1",8.266666,
"USA","HUR","TOT","PC_LF","Q","2012-Q2",8.2,
"USA","HUR","TOT","PC_LF","Q","2012-Q3",8.033334,
"USA","HUR","TOT","PC_LF","Q","2012-Q4",7.8,
"USA","HUR","TOT","PC_LF","Q","2013-Q1",7.733333,
"USA","HUR","TOT","PC_LF","Q","2013-Q2",7.533333,
"USA","HUR","TOT","PC_LF","Q","2013-Q3",7.233333,
"USA","HUR","TOT","PC_LF","Q","2013-Q4",6.933333,
"USA","HUR","TOT","PC_LF","Q","2014-Q1",6.666667,
"USA","HUR","TOT","PC_LF","Q","2014-Q2",6.2,
"USA","HUR","TOT","PC_LF","Q","2014-Q3",6.066667,
"USA","HUR","TOT","PC_LF","Q","2014-Q4",5.7,
"USA","HUR","TOT","PC_LF","Q","2015-Q1",5.533333,
"USA","HUR","TOT","PC_LF","Q","2015-Q2",5.433333,
"USA","HUR","TOT","PC_LF","Q","2015-Q3",5.1,
"USA","HUR","TOT","PC_LF","Q","2015-Q4",5.033333,
"USA","HUR","TOT","PC_LF","Q","2016-Q1",4.9,
"USA","HUR","TOT","PC_LF","Q","2016-Q2",4.933333,
"USA","HUR","TOT","PC_LF","Q","2016-Q3",4.9,
"USA","HUR","TOT","PC_LF","Q","2016-Q4",4.766667,
"USA","HUR","TOT","PC_LF","Q","2017-Q1",4.566667,
"USA","HUR","TOT","PC_LF","Q","2017-Q2",4.366667,
"USA","HUR","TOT","PC_LF","Q","2017-Q3",4.333333,
"USA","HUR","TOT","PC_LF","Q","2017-Q4",4.166667,
"USA","HUR","TOT","PC_LF","Q","2018-Q1",4.033333,
"USA","HUR","TOT","PC_LF","Q","2018-Q2",3.933333,
"USA","HUR","TOT","PC_LF","Q","2018-Q3",3.766667,
"USA","HUR","TOT","PC_LF","Q","2018-Q4",3.833333,
"USA","HUR","TOT","PC_LF","Q","2019-Q1",3.866667,
"USA","HUR","TOT","PC_LF","Q","2019-Q2",3.633333,
"USA","HUR","TOT","PC_LF","Q","2019-Q3",3.633333,
"USA","HUR","TOT","PC_LF","Q","2019-Q4",3.6,
"USA","HUR","TOT","PC_LF","Q","2020-Q1",3.8,
"USA","HUR","TOT","PC_LF","Q","2020-Q2",12.96667,
"USA","HUR","TOT","PC_LF","Q","2020-Q3",8.833333,
"USA","HUR","TOT","PC_LF","Q","2020-Q4",6.766667,
"USA","HUR","TOT","PC_LF","Q","2021-Q1",6.2,
"USA","HUR","TOT","PC_LF","Q","2021-Q2",5.933333,
"USA","HUR","TOT","PC_LF","Q","2021-Q3",5.133333,
"USA","HUR","TOT","PC_LF","Q","2021-Q4",4.2,
"USA","HUR","TOT","PC_LF","Q","2022-Q1",3.8,
"USA","HUR","TOT","PC_LF","Q","2022-Q2",3.6,
"USA","HUR","TOT","PC_LF","Q","2022-Q3",3.566667,
"USA","HUR","TOT","PC_LF","Q","2022-Q4",3.6,
